,0
0,ab
1,aba
2,aba-aba
3,abad
4,abadi
5,abadiah
6,abah
7,abai
8,abaimana
9,abaka
10,abaktinal
11,abakus
12,abal-abal
13,aban
14,abang
15,abangan
16,abangga
17,abar
18,abatoar
19,abau
20,abdas
21,abdi
22,abdikasi
23,abdomen
24,abdominal
25,abdu
26,abduksi
27,abduktor
28,abece
29,aben
30,aberasi
31,abet
32,abian
33,abid
34,abidin
35,abiogenesis
36,abiosfer
37,abiotik
38,abis
39,abisal
40,abiseka
41,abiturien
42,abjad
43,abjadiah
44,ablasi
45,ablaut
46,ablepsia
47,abnormal
48,abnormalitas
49,abnus
50,aboi
51,abolisi
52,abonemen
53,aborsi
54,abortif
55,abortus
56,abrak
57,abrakadabra
58,abrar
59,abras
60,abrasi
61,abreaksi
62,abrek
63,abreviasi
64,absah
65,absen
66,absensi
67,absente
68,absenteisme
69,abses
70,absis
71,absolut
72,absolutisme
73,absorben
74,absorpsi
75,absorptif
76,abstain
77,abstinensi
78,abstrak
79,abstraksi
80,absurd
81,absurdisme
82,abtar
83,abu
84,abu-abu
85,abuan
86,abuh
87,abuk
88,abuk-abuk
89,abul
90,abulhayat
91,abulia
92,abur
93,abus
94,acah
95,acak
96,acala
97,acan
98,acang
99,acap
100,acap kali
101,acar
102,acara
103,acaram
104,acat
105,acau
106,acawi
107,aci
108,aci-aci
109,acik
110,aco
111,acu
112,acuh
113,acum
114,acung
115,ad libitum
116,ada
117,adab
118,adad
119,adagio
120,adagium
121,adakala
122,adakan
123,adaks
124,adalah
125,adan
126,adang
127,adap
128,adaptabilitas
129,adaptasi
130,adaptif
131,adaptor
132,adapun
133,adar
134,adas
135,adat
136,adati
137,adegan
138,adeh
139,adekuat
140,adem
141,adempauze
142,adendum
143,adenoid
144,adenoma
145,adhesi
146,adhesif
147,adiabatik
148,adib
149,adibintang
150,adiboga
151,adibusana
152,adidaya
153,adigang
154,adiguna
155,adigung
156,adik
157,adika
158,adikara
159,adikarya
160,adikodrati
161,adiksi
162,adiktif
163,adikuasa
164,adil
165,adiluhung
166,adimarga
167,adinda
168,adipati
169,adipenghantar
170,adiposa
171,adipositas
172,adipura
173,adiraja
174,adiratna
175,adisi
176,adisional
177,aditif
178,aditokoh
179,adiwangsa
180,adiwarna
181,adjektif
182,adjektiva
183,adjektival
184,adjuvan
185,administrasi
186,administratif
187,administrator
188,admiral
189,admitans
190,adnan
191,adolesens
192,adon
193,adopsi
194,adoptif
195,adpertensi
196,adrenal
197,adrenalin
198,adrenergik
199,adres
200,adsorben
201,adsorpsi
202,adstringen
203,adu
204,adu domba
205,adu untung
206,aduhai
207,aduk
208,aduksi
209,aduktor
210,adun
211,adveksi
212,adventisia
213,adventisius
214,adverbia
215,adverbial
216,advertensi
217,advis
218,advokasi
219,advokat
220,aerasi
221,aerator
222,aerob
223,aerobatik
224,aerobik
225,aerobika
226,aerodinamik
227,aerodinamika
228,aerofon
229,aerogram
230,aerolit
231,aerometer
232,aeromovel
233,aeronautika
234,aeroplankton
235,aeroskop
236,aerosol
237,aerostatika
238,aestetika
239,afair
240,afal
241,afasia
242,afdal
243,afdeling
244,afdruk
245,afek
246,afeksi
247,afektif
248,aferesis
249,afiat
250,afidavit
251,afiks
252,afiksasi
253,afiliasi
254,afinitas
255,afirmasi
256,afirmatif
257,afonia
258,aforisme
259,afotik
260,afrasia
261,afrikat
262,afrodisiak
263,afsun
264,agak
265,agal
266,agalaksia
267,agam
268,agama
269,agamais
270,agamawi
271,agamen
272,agamet
273,agami
274,agamogenesis
275,agar
276,agas
277,agen
278,agenda
279,agentif
280,agih
281,agil
282,agio
283,agiria
284,agitasi
285,agitatif
286,agitator
287,aglikon
288,aglomerasi
289,aglomerat
290,aglutinasi
291,aglutinat
292,aglutinatif
293,aglutinin
294,agnosia
295,agnostik
296,agnostisisme
297,agogo
298,agon
299,agonia
300,agonis
301,agonistik
302,agorafobia
303,agradasi
304,agrafia
305,agraria
306,agraris
307,agregasi
308,agregat
309,agregatif
310,agresi
311,agresif
312,agresivitas
313,agresor
314,agripnia
315,agrobisnis
316,agroekonomi
317,agroekosistem
318,agroindustri
319,agrokimia
320,agronom
321,agronomi
322,agrostologi
323,agrowisata
324,aguk
325,agul
326,agun
327,agung
328,agus
329,agustus
330,agut
331,ahad
332,ahimsa
333,ahistoris
334,ahkam
335,ahli
336,ahlusuluk
337,ahmak
338,aho
339,ahwal
340,aib
341,ain
342,air
343,aja
344,ajaib
345,ajak
346,ajal
347,ajang
348,ajar
349,ajar-ajar
350,ajek
351,ajektiva
352,aji
353,aji-aji
354,ajir
355,ajnabi
356,ajojing
357,aju
358,ajudan
359,ajuk
360,ajun
361,ajung
362,akad
363,akademi
364,akademik
365,akademikus
366,akademis
367,akademisi
368,akal
369,akan
370,akang
371,akapela
372,akar
373,akas
374,akasia
375,akbar
376,akene
377,akeo
378,akh
379,akhir
380,akhirat
381,akhirulkalam
382,akhlak
383,aki
384,akibat
385,akidah
386,akikah
387,akil
388,aklamasi
389,aklasia
390,akli
391,aklimasi
392,aklimatisasi
393,akmal
394,akolade
395,akomodasi
396,akomodatif
397,akor
398,akordeon
399,akrab
400,akreditasi
401,akriflavina
402,akrilat
403,akrilik
404,akrobat
405,akrobatik
